letter,term,important,sports,ap,definition
A,"acting
",false,false,false,"Always use lowercase: former acting Gov. Blair Lee III.
See titles
"
A,"Adele H. Stamp Student Union
",false,false,false,"Use this formal title only in a quote.
See Stamp Student Union
"
A,"administration
",false,false,false,"Lowercase. Do not personify the administration. Administrators can say things, but the administration cannot. Be more specific when possible.
Also: The administration is singular, so it’s an it, not a they. 
"
A,"adopted, approved
",false,false,false,"Resolutions, ordinances and amendments are adopted or approved. 
Rules are adopted. 
Bills are passed or failed. 
There are two types of bills: resolution or an act. A resolution takes a stance and an act is an action. 
Laws are enacted.
"
A,"adviser
",false,false,false,"Not advisor, unless it’s in a formal title. But it is advisory.
"
A,"African American
",false,false,false,"Use only in a quote or if relevant to refer to an American person's African heritage. The Diamondback uses Black to identify a person by their physical description. Identify people by race only when relevant.
"
A,"African American studies
",false,false,false,"The name of a university department and major. 
"
A,"afterward
",false,false,false,"Not afterwards.
"
A,"airport
",false,false,false,"Capitalize if part of a proper name. Use the following on first reference to local airports: Baltimore-Washington International Thurgood Marshall Airport, College Park Airport, Dulles International Airport and Reagan National Airport. 
On second reference use BWI, College Park Airport, Dulles and Reagan.
"
A,"alcohol
",false,false,false,"Use often and liberally, but spell it correctly. Ryan Romano wrote this joke, please don’t come to Daisy about it.
"
A,"All-America, All-American ",false,true,false,"All-America, adj., All-American, n.: Hyphenated.
All-America refers to the actual team. All-American modifies a noun, such as a player.
She made third-team All-America. She was an All-American player.
"
A,"All-Big Ten
",false,false,false,"She made the All-Big Ten second team. The women’s basketball team had multiple players named to All-Big Ten Teams. She was an All-Big Ten player. 
"
A,"Allen, David
",false,false,false,"J. David Allen, DOTS director, should be referred to as David Allen. Do not use the J.
"
A,"Alloy, The
",false,false,false,"Originally called Alloy by Alta, but The Alloy is fine on all references. A 275-unit apartment on Berwyn House Road, near the CVS. 
"
A,"alumni, alum",false,false,true,"Use alumni when referring to a group or multiple graduates. Use alum when referring to a singular graduate.
Do not use the gendered terms alumnus, alumna, alumnae
"
A,"a.m., p.m.
",false,false,false,"Don’t be redundant.
Wrong: He left at 7 a.m. in the morning.
Right: The Maryland women’s soccer team’s game starts at 7:30 p.m.
"
A,"among, between
",false,false,false,"Among applies to several things;
between applies to two: 
There were many differences of opinion among the managing editors. The biggest argument was between vanilla and chocolate. 
But use between when describing the relationships of three or more items one pair at a time: The games between Maryland, Michigan and Penn State have been competitive.
"
A,"amount, number
",false,false,false,"Amount refers to a nonnumerical or unspecified quantity, while number refers to a quantity that can be counted. 
Much, little and less refer to amount; many and few refer to number.
Wrong: There was a large amount of mistakes in the story. (Should use “number”.)
Right: A large amount of water filled the basement.
Wrong: Letters to the editor should be 600 words or less. (Use “fewer”.)
Right: He arrived in less than two hours. (Time is not counted in whole numbers; therefore, 1 1/2 hours is less than two hours.)
"
A,"ampersand (&)
",false,false,false,"Use only as part of official names, such as The Baltimore & Ohio Railroad.
"
A,"animal science/agricultural engineering building, the
",false,false,false,"The university uses the “/” so for consistency we shall use as well.
See buildings
"
A,"anxious, eager
",false,false,false,"These words are not interchangeable. 
If someone is anxious, they are worried: The coach is anxious about tomorrow’s game.
If someone is eager, they look forward to something: The fans are eager to watch.
"
A,"Anytime Dining
",false,false,false,"The dining plan offered starting fall 2016. The plan was not used in the 2020-21 academic year due to the coronavirus pandemic.
Capitalize when referring to the plan itself. 
Dining Services registered incoming freshmen for the Anytime Dining plan. 
"
A,"approximately
",false,false,false,"Don’t use this ridiculously long word unless it’s in a quote. Use “about.”
see about, around
"
A,"architecture, planning and preservation school, the
",false,false,false,"No Oxford comma.
"
A,"arrested for ",true,false,false," Never use this libelous combination because it convicts the person of the crime. Use arrested on (offense) charges, or preferably, charged with:
Wrong: The Diamondback’s former Editor-in-Chief Angela Mecca was arrested for mischief. (This convicts her of the crime.)
Right: The Diamondback’s former Editor-in-Chief Angela Mecca was arrested on mischief charges.
Really right: The Diamondback’s former Editor-in-Chief Angela Mecca was charged with mischief.
IMPORTANT:
Write the sentence using active voice: University Police arrested former Diamondback Editor-in-Chief Angela Mecca on mischief charges.
See charged for, charged with
"
A,"Art Gallery, the
",false,false,false,"Located in the Mitchell Art-Sociology Building.
"
A,"Art-Sociology Building, the
",false,false,false,"SEE PARREN J. Mitchell art-sociology building
"
A,"Asian American
",false,false,false,"Use only in a quote or if relevant to refer to an American person's Asian heritage.
When applicable, be specific about someone’s identity and heritage. Asian American is a very generalized term and not all feel it accurately represents their identity. Allow sources to identify themselves as specifically or nonspecifically as they want.
"
A,"assistant, assistant to
",false,false,false,"These terms are not interchangeable. An assistant provost, for example, has more authority, prestige and salary than an assistant to the provost.
"
A,"at-large, at large
",false,false,false,"Hyphenate when used as a modifier: Smith filled the at-large seat in the legislature. The murderer is still at large.
"
A,"athletic department, athletic director
",false,false,false,"Use athletics as a noun: Maryland athletics are led by athletic director Damon Evans.
"
A,"attackman, attacker ",false,true,false,"In both men’s and women’s lacrosse, say attacker. Avoid the use of “attackman.”
"
A,"attendance ",false,true,false,"Make sure to include that attendance numbers are announced. Athletic department officials like to fudge these a little, so we should attribute them.
"
A,"Audi Field ",false,true,false,"D.C. United’s home field in the Buzzard Point neighborhood of Washington, D.C. Opened in July 2018.
"
B,"backquotes (’)
",false,false,false,"They should be used in front of a year or word when appropriate. To get a backquote, hold down the option, shift and right bracket keys, or type an apostrophe twice and use the appropriate one. 
Usually used in abbreviated years or decades: the ’80s. Don’t use an apostrophe (‘).
Example: The class of ’18 graduated in the spring.
"
B,"backward
",false,false,false,"Not backwards. 
"
B,"Baltimore
",false,false,false,"When differentiating between the city and the county, use Baltimore city and Baltimore County.
"
B,"Baltimore Avenue, 
",false,false,false,"Baltimore Avenue is better known as Route 1, and is used only in addresses or quotes. 
See Route 1
"
B,"Baltimore-Washington International Airport
",false,false,false,"Baltimore Washington International Thurgood Marshall Airport on first reference unless in the lede.
In the lede and second references, BWI.
See airports
"
B,"Baltimore-Washington Parkway
",false,false,false,"Official name for Interstate 295, connecting Baltimore and Washington, D.C.
"
B,"band names
",false,false,false,"Contrary to proper grammar, use the verb form that meshes with the band’s name: One Direction is my favorite band. The Beatles are also a band. 
"
B,"Barry and Mary Gossett Center for Academic and Personal Excellence, the
",false,false,false,"A center with career-planning resources, scholarships and other programs for college athletes, established through a donation from Barry and Mary Gossett. On second reference, the Gossett Center.
"
B,"Baseball, softball positions ",false,true,false,"In baseball, use specific positions, such as first baseman, shortstop, left fielder, as found in the game’s box score on UMTerps. 
In softball, say infielder for first/second/third basemen and short-stops, and outfielder for left/center/right fielders. (If the player is a pitcher or catcher, refer to them as such.)
"
B,"Bay Bridge, the
",false,false,false,"The bridge on Route 50 connecting Maryland’s Eastern and Western shores. Acceptable on all references.
"
B,"because, since
",false,false,false,"The two are not interchangeable. Since is used in the context of time; because is used in cause/effect relationships.
The University of Maryland has held mostly online classes since March 2020. The University of Maryland has held mostly online classes because of the pandemic. 
"
B,"behavioral and social sciences college, the
",false,false,false,"Use the college on second reference unless it would be confusing. Try to avoid the abbreviation BSOS.
"
B,"Beltway, the
",false,false,false,"See Capital Beltway, the
"
B,"Big Ten
",false,false,false,"Use the Big Ten on all references. Do not use constructions such as B1G or B10 in stories. Those constructions are acceptable, but not preferred, in headlines.
See addendum | Big Ten
"
B,"Big Ten/ACC Challenge, the",false,true,false,"Note the slash.
"
B,"Big Ten championship, the",false,true,false,"championship is always lowercase.
"
B,"BIPOC
",false,false,false,"Black, Indigenous and people of color
From The BIPOC Project: BIPOC is a term used to “highlight the unique relationship to whiteness that Indigenous and Black (African Americans) people have, which shapes the experiences of and relationship to white supremacy for all people of color within a U.S. context.”
"
B,"Black",true,false,false,"Uppercase. Identify people by their race ONLY when relevant. NEVER assume someone’s race. Ask people how they would like to be referred to. The Diamondback typically uses Black to identify a person by their physical description when relevant. (NOTE: In police stories, organizations have historically included race in physical descriptions of suspects or accused persons. The Diamondback does not include race in these stories unless there is a compelling reason to do so.) 
Black is not interchangeable with African American. A person can be Black but not African American. A person can also be African American and not Black. Again, ask people how they would like to be referred to in the context. 
Allow sources to identify themselves as specifically or nonspecifically as they want.
See race
"
B,"Black Student Union, the
",false,false,false,"Use BSU in ledes and on second reference.
"
B,"Board of Regents, the
",false,false,false,"This 18-member board sets university system policy, usually on the recommendation of the university administration.
Use an identifying clause on first reference, such as this:
...the Board of Regents, the 18-member board that sets university system policy...
On first reference: the Board of Regents. On second reference: the regents or the board.
There is no need to refer to it as the University System of Maryland Board of Regents, unless there is another board of regents referenced in the story.
Aim to put the title after their name, but if wording requires that a regent’s title go first, capitalize it: Regent D'Ana Johnson, student Regent Aaliyah Edwards.
See University System of Maryland, the
See addendum | usm
"
B,"Bob “Turtle” Smith Stadium",false,true,false,"Use instead of Shipley Field. Not the same Robert Smith the business school is named after.
"
B,"bookstores
",false,false,false,"Use University Book Center on first reference and the Book Center on second. It is owned by Barnes & Noble.
Use Maryland Book Exchange on first reference and the Book Exchange on other references. Do not use MBX.
Use BookHolders on all references.
"
B,"brackets
",false,false,false,"Use when inserting material into quoted matter, deleting words made unnecessary by the material in brackets.
Wrong: “I think he [Kirwan] is a snapperhead.”
Right: “I think [Kirwan] is a snapperhead.”
Leave in the spoken word if it is imperative to the quote and use parentheses if no words were removed: “I think that snapperhead (Kirwan) skirts the issues.”
"
B,"broadcast
",false,false,false,"The past tense is broadcast, not broadcasted.
"
B,"brother
",false,false,false,"Do not use to refer to a member of a fraternity. There may be some exceptions in opinion pieces. Use member.
See Greek
"
B,"buildings
",false,false,false,"Use the proper name associated with a building, unless otherwise specified, on all references.
Most buildings with proper names are followed by the word hall: Tydings Hall, Knight Hall, Francis Scott Key Hall, South Campus Dining Hall.
If building is in the name, capitalize it on first reference: Kim Engineering Building, the Pocomoke Building.
In reference to most buildings, use only a last name: Kirwan Hall, the Toll Physics Building. The exceptions are H.J. and J.M. Patterson halls (use on all references), Marie Mount Hall (use on all references), the A.V. Williams Building (use on all references), Francis Scott Key Hall (Key Hall on second reference) and the Edward St. John Learning and Teaching Center (the St. John Center on second reference).
Dorms are also referred to as halls: Easton Hall, Annapolis Hall. Not Easton dorm.
When in doubt about a building’s name, check maps.umd.edu. It’s more reliable than Google Maps.
Students should be identified by their dorm only if relevant to the story, such as in a story about housing: Angela Roberts, a Hagerstown Hall resident.
"
B,"business school, the
",false,false,false,"Not Robert H. Smith School of Business. Do not use donor names for academic departments or schools.
See colleges
"
B,"bylines
",false,false,false,"Bylines are automatically included online. If there is more than one writer, the author of the piece will be Diamondback Staff and specific bylines will be put in the text of the post. Multiple bylines should be listed in alphabetical order. The order and formatting of bylines is as follows:
By Joe Smith and Joe Zmith
Staff writers
If it is a General Assignment writer, the author of the piece will be Freelance writer and the specific byline will be put in the text of the post.
By Darryll Pines
For The Diamondback
The titles in double bylines are associated with the higher staff rank of either writer. From lowest to highest, the order is general assignment reporters (For The Diamondback), staff writers and senior staff writers.
"
B,"Byrd Stadium",false,true,false,""
C,"Cambridge Community, the
",false,false,false,"Made up of these low- and high-rise dorms: Bel Air, Cambridge, Centreville (note spelling), Chestertown and Cumberland halls. Home of the College Park Scholars program.
"
C,"Cambridge Community Center, the
",false,false,false,"A multipurpose building including a North Campus convenience store. Located in the middle of the Cambridge Community quad. 
"
C,"Campus Drive
",false,false,false,"A road that runs through the campus and into College Park and Riverdale Park, extending from University Boulevard in the east to Kenilworth Avenue in the west. Part of it used to be called Paint Branch Parkway, but the name was changed in 2016. Since summer 2018, Campus Drive has been a one-way road due to Purple Line construction.
"
C,"campus, university",true,false,false,"They are not interchangeable. Note that when campus is used as a noun, excluding within quotes, it should be preceded by the article the.
Right: The students walked around the campus.
The grounds of the University of Maryland should be referred to simply as the campus or this campus: This campus houses seven libraries.
"
C,"campuswide
",false,false,false,"No hyphen, one word.
"
C,"canceled, canceling, cancellation
",false,false,false,"See (AP) canceled
"
C,"capital, Capitol
",false,false,false,"Capital is the city; Capitol is the building. The U.S. Capitol in Washington, D.C., is uppercase.
Remember that Capitol buildings usually have domes, and both contain the letter “o.” The U.S. Capitol is located in Washington, D.C., the nation’s capital. Annapolis is the state capital, and its Capitol is located downtown.
"
C,"Capital Beltway, the
",false,false,false,"Uppercase. Use on first reference for the D.C.-area beltway. Use the Beltway on second reference unless another beltway is mentioned. To avoid confusing the reader, avoid the terms Interstate 95 or Interstate 495 because the Beltway uses both numbers.
See highways
"
C,"Capital One Arena",false,true,false,"Formerly MCI Center and Verizon Center. Located in downtown Washington, D.C., it’s the home of the Washington Wizards (formerly the Bullets), the Washington Capitals and the Georgetown men’s basketball team. 
Use the arena on all other references. Does not take a the in front of it.
"
C,"CARE to Stop Violence
",false,false,false,"An office in the health center that acts as a confidential resource to students who have experienced sexual violence. Use Campus Advocates Respond and Educate to Stop Violence office on first reference, unless in a lede.
"
C,"Career Center, the University
",false,false,false,"Located on the third floor of Hornbake Library. Uppercase on all references. Use the Career Center on second reference.
"
C,"Catholic Student Center, the
",false,false,false,"Use the center on second reference, not the CSC.
"
C,"centered on
",false,false,false,"Never centered around.
"
C,"centers
",false,false,false,"Lowercase, unless in a proper title or building name: the Iribe Center. But use the center on second reference.
"
C,"chair
",false,false,false,"In general, use gender-neutral terms such as chair or chairperson. 
Capitalize before the name, lowercase after: Linda Gooden, regents chair; regents Chairman Linda Gooden.
Chair is acceptable as a verb: She chaired the meeting; he chairs the committee.
"
C,"chancellor
",false,false,false,"The university system’s chief administrator. Capitalize only as a formal title before the name.
"
C,"chapel
",false,false,false,"See Memorial Chapel
"
C,"Chapel Field, the
",false,false,false,"Lawn area in front of the chapel used for concerts and band practice; use on all references.
"
C,"charged for, charged with",true,false,false,"Never use charged for because it’s a libelous combination that convicts that person of the crime. Use charged with.
Wrong: Jacob Richman, a senior journalism major, was charged for public drunkenness. (This convicts him of the crime! Bad.)
Right: Devon Milley, a junior journalism major, was charged with public drunkenness.
It’s better to use active voice unless the subject is well-known or it interferes with a lede’s brevity: University Police charged Clara Niel, a senior journalism major, with disturbing the peace.
See arrested for
"
C,"Chesapeake Bay, the
",false,false,false,"Note spelling. Use the bay on second reference unless another bay is mentioned.
"
C,"city
",false,false,false,"Capitalize as part of a proper name: Kansas City, New York City. But Baltimore city (if needed to distinguish it from Baltimore County). The city can be used on second reference for College Park.
See datelines
"
C,"City Council, the
",false,false,false,"Capitalize when referring to a specific council: the (College Park) City Council. On second reference, the council. Members of the council are council members. Note that council member is two words.
"
C,"claim, acknowledge, admit 
",false,false,false,"These usually imply that you don’t believe the source. Don’t use them. Use said, contended, maintained or some other less slanted word, unless you need to convey that the person’s story is skeptical; however, news and sports stories usually should not show such skepticism.
"
C,"Clarice Smith Performing Arts Center, The
",false,false,false,"The full spelling should be used in all first references because of a special request from the center. Use The Clarice on second reference.
Along with additional spaces, The Clarice is home to six “performance venues” (i.e. theaters/auditoriums):
Cafritz Foundation Theatre (not Cafritz Theatre)
the Dance Theatre
Dekelboum Concert Hall
Gildenhorn Recital Hall
Kay Theatre
Kogod Theatre
"
C,"class names
",false,false,false,"Most students are familiar with the course abbreviations, which when spelled out can be rather long. Follow this format: CHEM103: General Chemistry. For well-known courses (or courses with long or stupid names), use the course abbreviation and an identifying clause on first reference, such as this:
… UNIV100, an introductory course designed to teach new students about university life, ...
"
C,"class standing
",false,false,false,"Most students here are freshmen, sophomores, juniors, seniors or graduate students, and they should be identified as such: Evan Hecht, a senior classics and journalism major; Jake Foley-Keene, a freshman government and politics major; Gabby Lewis, a philosophy graduate student.
Some students take more than four years to earn their undergraduate degree. They are seniors in their fifth year of college. 
The term fifth-year senior should be used only in sports contexts because of its prevalence there.
See majors
See addendum | majors
"
C,"Code of Academic Integrity, the
",false,false,false,"Uppercase. The code is acceptable on second reference if it’s the only code mentioned in the article.
See Judicial Board
"
C,"Code of Student Conduct, the
",false,false,false,"Uppercase. The code is acceptable on second reference if it’s the only code mentioned in the article.
The Code of Student Conduct was expanded in fall 2013 to include Office of Student Conduct jurisdiction over off-campus misconduct.
This code does not apply to student sexual misconduct.
"
C,"Cole Field House",false,true,false,"Does not take a “the.”
The arena where the basketball teams played from 1955 to 2002. 
"
C,"colleges",true,false,false,"Capitalize as part of the proper name of an independent institution: Loyola College.
The colleges within this or other universities, however, are lowercase and after the name: behavioral and social sciences college.
For colleges and schools within this university, do not use donor names.
Wrong: A. James Clark School of Engineering, Philip Merrill College of Journalism, Robert H. Smith School of Business
Right: engineering school, journalism college, business school
See addendum | majors
"
C,"college athletes
",false,false,false,"The preferred term for students who play sports for this university.
See student-athlete
"
C,"College Park
",false,false,false,"When used alone, College Park refers to the city, not the university. In a sentence, city of College Park.
"
C,"College Park Academy, the
",false,false,false,"A charter school serving sixth- to 12th-graders, formed through a partnership between this university and St. John Properties. Previously located in St. Mark’s Church on Adelphi Road, it moved to Riverdale Park in October 2017.
Use the College Park Academy on all references.
"
C,"College Park City-University Partnership, the
",false,false,false,"A 501(c)(3) nonprofit corporation funded by both College Park and the university that promotes development and collaboration between the two bodies.
On second reference, the partnership. Never CPCUP.
"
C,"College Park Scholars
",false,false,false,"A living-learning program that began in 1994. It’s for freshmen and sophomores, and it lasts two years.
Use Scholars on second reference. Do not refer to students enrolled in the program as Scholars themselves; they are students in the Scholars program.
"
C,"College Park Towers
",false,false,false,"An apartment complex comprising two highrises between Knox and Hartwick roads, referred to individually as Knox Tower and Hartwick Tower. The complex should never be referred to as the Towers.
"
C,"College Park Volunteer Fire Department, the
",false,false,false,"Use on first reference. Use the department or the fire department on second reference, unless doing so makes things unclear or another department is mentioned.
"
C,"Commons Shop, the
",false,false,false," 
communication department, the
Note that there is no “s” on communication. Same applies for the major.
"
C,"community, communities
",false,false,false,"When referring to groups, communities or allyships between people with shared identities, use “communities” rather than “community” to acknowledge the complexity and individuality within identities that are often grouped. For example: LGBTQ+ communities, Asian American communities, Indigenous communities. 
Further example: The SGA  has created an initiative for the university’s Black communities on the campus. 
"
C,"company and business names",false,false,true,"For the spellings of any business or company, local or otherwise, use the following references in this order: 
See (AP) company names; look up its name in this stylebook; refer to primary graphic in business or company website header. 
If style remains unclear, consult a managing editor.
On all references, use the name that readers are most familiar with, rather than the formal name: Amazon, not Amazon.com Inc. 
"
C,"compose, comprise, constitute
",false,false,false,"Compose means to create or put together: He composed a song. The United States is composed of 50 states.
Comprise means to contain, to include or embrace. It should be used only with a complete list or an indefinite description. Comprise is active, followed by a direct object. The group comprises the parts of that group. The construction is comprised of should never be used.
Wrong: Johnny Marr, Andy Rourke, Mike Joyce and Morrissey comprise The Smiths.
Wrong: The Smiths are comprised of Johnny Marr, Andy Rourke, Mike Joyce and Morrissey.
Right: The Smiths comprise Johnny Marr, Andy Rourke, Mike Joyce and Morrissey.
To avoid confusion, it’s usually best not to use comprise at all.
Constitute often is the best if neither compose nor comprise is appropriate: Fifty states constitute the United States. Five men and five women constitute the jury.
"
C,"composition titles",false,false,true,"See addendum | works
"
C,"comptroller
",false,false,false,"The state official in charge of the treasury.
The comptroller, like the treasurer, has a four-year term. The comptroller is elected and manages the state’s funds, and the treasurer is appointed by the General Assembly and is in charge of disbursing state money. The university system and the university have their own comptrollers.
"
C,"co-op
",false,false,false,"Short for cooperative, this term refers to a business enterprise owned or operated solely for the benefit of those using the services.
The Maryland Food Co-op was a shop in Stamp Student Union that used to sell sandwiches, bulk quantities of vegetarian foods and other items. The Co-op closed in summer 2019 due to its debt. Use the Co-op on second reference.
"
C,"corner
",false,false,false,"Do not use the redundant phrase at the corner of when referring to a location.
Wrong: The accident occurred at the corner of Knox Road and Route 1.
Right: The accident occurred at Knox Road and Route 1.
"
C,"Cornerstone Grill and Loft
",false,false,false,"Cornerstone is acceptable on second reference.
"
C,"council member, councilman, councilwoman
",false,false,false,"Use council member in most cases. 
See addendum | College Park
"
C,"Counseling Center, the
",false,false,false,"Located in Shoemaker Hall. Do not confuse with the Help Center.
"
C,"county
",false,false,false,"Capitalize when part of a proper name: Prince George’s County, Baltimore County, Howard County. But it’s lowercase when used with more than one: Baltimore and Howard counties. 
College Park and the university are in Prince George’s County. Never use P.G. County. If used in a quote, use [Prince George’s]. Use the county for Prince George’s County on second reference unless the story mentions other counties.
See Prince George’s County 
"
C,"county government
",false,false,false,"The Prince George’s County Council legislates on such issues as zoning, liquor licenses and tenant laws. The council’s bills must be signed by the county executive, who serves a four-year term. Council members are elected by district, serve for four years and meet in the County Administration Building in Upper Marlboro.
"
C,"court cases",false,false,true,"In italics. Use v. not vs. 
"
C,"court names
",false,false,false,"See (AP) court names
"
C,"Courtyards at the University of Maryland, The
",false,false,false,"Student apartment complex off University Boulevard. Operated by Capstone. Formerly managed by Ambling Inc., at which point it was University Courtyard, not plural. Don’t say the full name unless it’s in a quote. On all references, Courtyards (no the) is acceptable.
Right: Students at Courtyards, which is obscenely far away from where everyone else lives, complained about previous parking enforcement.
"
C,"COVID-19
",false,false,false,"Some news organizations have used lowercase, but we’re going to follow AP and keep it uppercase.
"
C,"The Crew",false,true,false,"Notoriously rowdy Maryland men’s soccer fans who stand in the bleachers behind the goals in Ludwig Field. Note the capital The.
"
C,"Critical Issues Defined by Black Student Leaders
",false,false,false,"A university partnership with student organizations working to complete 25 demands from Black student leaders. The issues were outlined in fall 2020 and are still active. The demands include increasing the number of Black faculty and staff, reevaluating UMPD public funding, prioritizing Black student enrollment and creating more spaces on the campus for Black students. 
"
C,"currently
",false,false,false,"Do not use unless a comparison is being made with a previous situation.
"
C,"cutlines",true,false,false,"The first sentence is in present tense, unless a time word such as yesterday, in February, etc. is given.
Subsequent sentences are in past tense. A good rule to follow is not to merely describe the photo but to add more information. Also, do not repeat information from the headline and lede. A cutline should add information not readily apparent to the reader.
Wrong: Nubs Remsberg held a basketball.
Right: Junior journalism major Nubs Remsberg poses after his team won the hall ball tournament yesterday.
"
D,"Dairy, the
",false,false,false,"Use the Dairy on all references. Originally located in Turner Hall, the Dairy has operated since 1924. It is now located in Stamp Student Union.
"
D,"datelines",false,false,true,"Always capitalize the city name and use AP style for the state if needed. Use a dateline when the reporter obtained most of the information for the story at that location. 
Refer to AP style for the cities in the United States that do not require states in the dateline.
For print: Do not use “Maryland” if the city is located in Maryland, unless the city is also a well-known place, such as Hollywood, Maryland; Berlin, Maryland; Damascus, Maryland; Phoenix, Maryland; California, Maryland; etc. 
BALTIMORE — Students will pay $50 more a semester for tuition next year under a plan approved by the Board of Regents here yesterday.
"
D,"dates
",false,false,false,"Spell out months of five or fewer letters (i.e. March-July) in all uses. Spell out months of six or more letters (i.e. August-February) only if they do not refer to a specific date. For a date including the year, be sure to add a comma after the day and year. Use the word on only when the date is directly after a proper noun:
School begins Aug. 30. I will drive to Maryland on Aug. 30.
Do not use last or next for specific dates. For dates that fall within 12 months past or future, use just the month and day. For dates that fall beyond 12 months, use the year as well. 
"
D,"days of the week
",false,false,false,"If it’s more than a week in the past or future, use the date. Don’t use a day and date together, and don’t use last or next in front of a day or week. Never use today, yesterday or tomorrow.
"
D,"dean
",false,false,false,"The administrative head of each college and school at the university. It should be lowercase if it’s after the name: Lucy Dalglish, journalism college dean; journalism dean; Journalism Dean Lucy Dalglish. Aim to put it after the name when possible.
"
D,"dean’s list
",false,false,false,"Always lowercase. It’s for students with a 3.5 GPA or higher for a given semester.
"
D,"defender",false,true,false,"Use in reference to the lacrosse position. Do not use defenseman.
"
D,"degrees
",false,false,false,"See academic degrees
"
D,"Democrat, Democratic Party
",false,false,false,"Capitalize on all references to the political party or its members. Do not capitalize democrat when referring to someone who believes in democracy. The word democracy is always lowercase unless part of a formal title. Do not use Democrat Party.
"
D,"Denton Community, the
",false,false,false,"Comprises four dorms — Denton, Easton, Elkton and Oakland halls — as well as 251 North and the 24 Shop.
"
D,"departments, federal
",false,false,false,"Always capitalize, drop the of and flip the title. Use U.S. before the name if the context of the story requires it.
Right: the Health and Human Services Department; the State Department; the Defense Department.
Wrong: the Department of Health and Human Services.
"
D,"Diamondback, The
",false,false,false,"Use The Diamondback, never DBK. Do not italicize The Diamondback, or other newspapers or publications.
The paper’s name refers to the diamondback terrapin, the university’s mascot, though The Diamondback was the name of the newspaper before the university made that its mascot (flex). It’s a turtle native to the brackish waters of the Eastern Seaboard.
See newspapers
"
D,"Dining Dollars
",false,false,false,"Dining supplement usable at campus convenience stores and Stamp. Replaced Terp Bucks.
"
D,"dining halls
",false,false,false,"There are three operational on the campus: the North Campus Dining Hall (located in Ellicott Community), the South Campus Dining Hall and 251 North, a buffet-style dining hall in the Denton Community.
"
D,"Dining Services
",false,false,false,"Capitalize on all references. 
"
